Figure_ID,Filename,Paper_Section,Figure_Type,Size_KB,Caption
Fig1,Fig1_Model_Evolution_Overview.png,Section IV-A (Model Evolution),Primary Architecture Evolution,192.9 KB,Fig. 1. Evolution of RiceGuard architectures across experimental phases showing classification Macro F1 vs. localization lesion grounding and VRAM efficiency.
Fig2,Fig2_Classification_Localization_Tradeoff.png,Section IV-B (Multi-Task Optimization),Optimization Trade-off,305.5 KB,"Fig. 2. Pareto frontier showing the trade-off between Disease Classification Macro F1 and Lesion Localization F1 across Phase 2B, Phase 3, and Phase 3B."
Fig3,Fig3_Per_Class_F1_Comparison.png,Section IV-C (Per-Class Performance),Category Performance,130.8 KB,"Fig. 3. Per-class F1-score comparison across 6 pathology categories for Phase 2B Baseline, Phase 3 Multi-Task, and Phase 3B Calibrated Multi-Task."
Fig4,Fig4_Confusion_Matrix_Comparison.png,Section IV-D (Diagnostic Precision),Diagnostic Precision Matrix,314.0 KB,"Fig. 4. Normalized test set confusion matrices comparing Phase 2B Baseline (left), Phase 3 Multi-Task (center), and Phase 3B Refined Multi-Task (right)."
Fig5,Fig5_XAI_Grounding_Summary.png,Section V-A (Explainability Validation),Grounding Benchmark,310.3 KB,"Fig. 5. Quantitative explainability validation on RiceSeg5932 lesion masks: Attribution IoU, Energy Inside Mask (EIM), Pointing Game Accuracy, and Background Attribution Entropy."
Fig6,Fig6_Failure_Cases_Comparison.png,Section IV-E (Error Analysis),Failure Analysis,321.2 KB,"Fig. 6. Representative diagnostic failure cases under severe background clutter and occlusion, comparing Phase 2B vs. Phase 3B predictions."
Fig7A,Fig7A_XAI_Deletion_Curves.png,Section V-B (Faithfulness Benchmark),Faithfulness Metric,179.9 KB,Fig. 7(a). Grad-CAM deletion curves: Phase 3B exhibits faster confidence degradation upon removing salient lesion pixels (lower AUC indicates higher faithfulness).
Fig7B,Fig7B_XAI_Insertion_Curves.png,Section V-B (Faithfulness Benchmark),Faithfulness Metric,176.9 KB,Fig. 7(b). Grad-CAM insertion curves: Phase 3B achieves higher confidence recovery when re-introducing salient lesion features (higher AUC indicates higher faithfulness).
Fig8,Fig8_GradCAM_Qualitative_Comparison.png,Section V-C (Qualitative Saliency),Qualitative Saliency Grid,23382.7 KB,Fig. 8. High-resolution qualitative comparison of Grad-CAM saliency heatmaps generated by Phase 2B Baseline vs. Phase 3B Lesion-Grounded Model against ground-truth segmentation masks.
FigS1,FigS1_Phase3B_Training_Validation_F1.png,Supplementary Materials S1,Training Dynamics,61.7 KB,Fig. S1. Validation Macro F1 convergence curve across 30 epochs for the Phase 3B calibrated multi-task model.
FigS2,FigS2_Phase3B_Loss_Decomposition.png,Supplementary Materials S2,Training Dynamics,74.6 KB,"Fig. S2. Multi-task loss component decomposition: Classification CE, Localization IoU Loss, and Localization L1 Loss curves."
FigS3,FigS3_Test_Localization_Detections.png,Supplementary Materials S3,Detection Visualizations,3880.4 KB,Fig. S3. Representative multi-class lesion bounding box detections on unseen primary test set samples.
FigS4,FigS4_Dataset_Class_Distribution.png,Supplementary Materials S4,Dataset Governance,46.0 KB,"Fig. S4. Primary training, validation, and test split sample distribution across 6 rice pathology classes in RiceLeafDiseaseBD."
FigS5,FigS5_Bounding_Boxes_Per_Class.png,Supplementary Materials S5,Dataset Governance,49.0 KB,Fig. S5. Annotated lesion bounding box count distribution per disease category.
FigS6,FigS6_Lesion_Area_Distribution.png,Supplementary Materials S6,Dataset Governance,39.9 KB,Fig. S6. Normalized lesion area distribution illustrating high frequency of small punctate lesions.
FigS7,FigS7_Primary_Dataset_Sample_Grid.png,Supplementary Materials S7,Dataset Governance,2080.1 KB,Fig. S7. Sample gallery representing all 6 pathology classes in the primary experimental dataset.
FigS8,FigS8_RiceSeg5932_Pairing_Examples.png,Supplementary Materials S8,XAI Evaluation Governance,971.3 KB,Fig. S8. Zero-leakage alignment between evaluation leaf samples and RiceSeg5932 lesion segmentation masks for Phase 4 explainability validation.
